正红旗下, 老舍, 人民文学出版社, 1980年6月
我想去看海, (法)克利斯提昂.约里波瓦/文 / (法)克利斯提昂.艾利施/图, 二十一世纪出版社, 2006-09-01
香初上舞·终上, 藤萍, 广西人民出版社, 2005-04
香初上舞·再上, 藤萍, 广西人民出版社, 2005-3-1
美语音标, 赖世雄, 外文出版社, 2010-1
人生的枷锁, [英]毛姆, 上海译文出版社, 2011-5-1
金庸全集, 金庸, 生活·读书·新知三联书店, 1994-5
毛泽东选集, 毛泽东, 人民出版社, 1991-5
庄子今注今译（全三册）, 陈鼓应 注译, 中华书局, 2009-2
庄子諵譁（下）, 南怀瑾, 上海人民出版社, 2007-7
故事新编, 鲁迅, 人民文学出版社, 1973-12-01
汪曾祺小说经典, 汪曾祺, 人民文学出版社, 2005-8-1
鸟哥的Linux私房菜, 鸟哥, 人民邮电出版社, 2010-6-28
亲爱的提奥, [荷]文森特·凡高, 南海出版公司, 2010-8
